text,taskType
I need an electrician to fix some wiring,Electrician
Looking for a plumber to unclog a drain,Plumber
Can you recommend a carpenter to repair my furniture,Carpenter
I want a goldsmith to craft a custom jewelry piece,Goldsmith
Need a blacksmith to forge a custom knife,Blacksmith
I need someone to paint my house,Other
I'm looking for an electrician to install new lighting,Electrician
Plumbing help required for a leaky faucet,Plumber
Carpentry work needed for a broken chair,Carpenter
I want a unique gold necklace,Goldsmith
Repair my gate. I need a blacksmith,Blacksmith
I need help with gardening,Other
Please send an electrician to check the wiring,Electrician
Plumber needed for a bathroom renovation,Plumber
Carpenter for custom bookshelves,Carpenter
Design a gold bracelet for me,Goldsmith
Custom metalwork. looking for a blacksmith,Blacksmith
Painting the kitchen,Other
